"","Year","Biomass","Coal","Hydroelectric","Natural_Gas","Nuclear","Oil","Other","Solar","Wind"
"1",2001,9217726185000,478796814280000,726426648000,58416796480000,3355723512000,41397095648000,1795359688000,0,0
"2",2002,11206113665000,472398159940000,817164792000,79777353250000,3437584236000,31849937772000,1612480376000,0,0
"3",2003,7536661865000,475671686040000,1188492816000,71769161240000,3335093628000,37811244988000,510889208000,0,0
"4",2004,10528287365000,477766448200000,1038066360000,85661157120000,3450965952000,41022754747000,1980945224000,0,0
"5",2005,10182072055000,490747868200000,988126080000,94833817960000,3363263520000,38735589507000,1942236488000,0,0
"6",2006,13108175025000,495109190720000,725982648000,105595593880000,3369152580000,22862846871000,2072949888000,0,598483000
"7",2007,13032847250000,505286080340000,562877784000,117134527440000,3447544044000,21651051271000,2002373816000,0,548964000
"8",2008,12362792590000,486180509200000,659411712000,115397130030000,3459029904000,14614963014000,1625354216000,0,557727000
"9",2009,11891076255000,406783212160000,1081480968000,136438293040000,3499666992000,11739270608000,1716065176000,421415000,591123000
"10",2010,11976560900000,439117849040000,884288328000,160468260540000,3428791704000,12774813426000,1947077608000,3579580000,466555000
"11",2011,12650077005000,395223664780000,844885728000,174518304940000,3368645568000,8297521884000,2115052464000,5468115500,611144500
"12",2012,12563350760000,330134569880000,715249920000,212147097400000,3305490756000,5221246960000,1903207960000,12303627000,546158000
"13",2013,13543915515000,332937421720000,1153332408000,192867337880000,3507872172000,7300487954000,1985603064000,20589571500,537567500
"14",2014,14359252410000,350790715100000,890273664000,195658853670000,3540005628000,7818840632000,1878406384000,42317453000,588110000
"15",2015,14832723960000,282128896600000,942624456000,239710615620000,3516465468000,6998188492000,2120657040000,69570187500,527171500
"16",2016,14857075325000,267034260340000,803959872000,255592427510000,3577136004000,7360974381000,2079637712000,193312138500,505770000
"17",2017,15126448690000,239197458760000,850644504000,250697453440000,3600750276000,5626030084000,1914733112000,370638408500,5911805000
